iso3,country,continent,min_senti_bert,drop_senti_bert,averageN,Quality,HalfLife,mType,model,r-squared,sd_position_half,sd_position_525,sd_position_final,sse,u,v,gama,a,b
SWE,Sweden,Europe,3/13/2020,3/1/2020,6103.953947,1,8.421583191,1,normal,0.848171169,-3.877247887,0.477611071,0.499546827,9.864299539,0.515763326,-3.703053201,0.08200811,,
SWZ,Swaziland,Africa,3/15/2020,3/9/2020,616.5723684,1,22.16423457,1,normal,0.826673201,-0.257952094,0.892783328,1.429334404,5.332044878,0.78931814,-1.724373062,0.023460575,,
SYR,Syria,Asia,3/1/2020,3/10/2020,500.5921053,0,32.27833451,1,normal,1.014872572,-0.05543883,1.683570484,3.703649525,15.34412949,1.938691441,-3.130488027,0.011779594,,
THA,Thailand,Asia,2/27/2020,2/24/2020,40895.88816,0,44,3,normal,1.100996262,1.576168986,4.527482013,,14.81984495,,,,0.034516321,-1.329565499
TTO,Trinidad and Tobago,North America,3/14/2020,3/10/2020,2307.348684,1,7.380622737,1,normal,0.729375222,-2.055332042,-0.627575536,-0.624229596,4.435071543,0.029636669,-1.456957287,0.093755976,,
TUN,Tunisia,Africa,3/12/2020,3/8/2020,686.8552632,1,11.25541595,1,normal,0.496827517,-0.960413236,0.427365367,0.459075675,16.59307327,0.493787459,-1.971648356,0.060585474,,
TUR,Turkey,Asia,3/25/2020,3/9/2020,81399.50658,1,28.98028076,1,normal,0.707623869,0.354598814,2.189552937,18.79840158,14.70016777,12.54725906,-13.64643496,0.003272759,,
TWN,"Taiwan, Province of China",Asia,3/16/2020,2/23/2020,4578.098684,0,8.353751296,1,normal,0.34069001,-1.082421302,-0.349277155,-0.344745218,13.13001787,0.199881837,-1.378207009,0.082606085,,
TZA,Tanzania,Africa,3/15/2020,3/10/2020,5035.631579,1,14.2110978,1,normal,0.750303866,0.449747028,2.359471835,2.509097735,9.06276468,1.311623924,-2.912899894,0.046171131,,
UGA,Uganda,Africa,3/24/2020,3/11/2020,6857.592105,1,8.834411937,1,normal,0.892295552,-3.47558865,1.191658138,1.268538962,9.4851247,0.992718295,-4.925131858,0.077538997,,
UKR,Ukraine,Europe,3/16/2020,3/10/2020,5885.822368,1,14.49125257,1,normal,0.9318768,-1.016206673,1.307838561,1.517144616,3.16383604,0.723926822,-2.262103498,0.044920862,,
URY,Uruguay,South America,3/15/2020,3/10/2020,13961.80921,1,15.17230025,1,normal,0.983482378,-1.213124087,2.353775944,2.719447779,12.1321108,2.047819693,-5.722700529,0.042547205,,
USA,United States,North America,3/14/2020,3/5/2020,1001282.441,1,8.872178348,1,normal,1.024875037,-2.867251358,0.119397936,0.141680754,2.876696047,0.407084827,-3.002172321,0.077707808,,
UZB,Uzbekistan,Asia,3/15/2020,3/11/2020,490.7171053,1,12.2161143,1,normal,0.685622734,-1.876458708,1.044590854,1.163618128,9.593661134,0.500535982,-2.158859355,0.055122001,,
VEN,Venezuela,South America,3/17/2020,3/11/2020,13280.82237,1,9.224120666,1,normal,0.687154099,-3.670608776,-2.136570697,-2.118518039,9.869773776,-0.463808391,-2.113745101,0.074512751,,
VIR,"Virgin Islands, U.S.",North America,4/14/2020,3/10/2020,420.9013158,1,5.928562216,1,normal,0.473197636,-2.259884715,-0.946577538,-0.923257726,7.699244672,0.044651547,-1.568923599,0.115438702,,
VNM,Viet Nam,Asia,3/19/2020,2/22/2020,1755.592105,1,18.33175722,1,normal,0.933040161,-1.560845965,0.796062982,1.440189193,3.726466404,0.815076462,-2.151804749,0.031618521,,
XKO,NA,NA,3/12/2020,3/7/2020,765.8684211,0,6.142535371,1,normal,0.663801827,-1.772531932,0.877428266,0.878684472,14.10885499,0.374017334,-2.350282086,0.112805251,,
YEM,Yemen,Asia,3/18/2020,3/4/2020,790.8289474,0,34,3,normal,0.514116413,0.463284795,2.011258778,,14.75290437,,,,0.024461584,-0.801809182
ZAF,South Africa,Africa,3/25/2020,3/8/2020,61022.73684,1,5.752306122,1,normal,0.82574478,-1.006222461,2.207875279,2.212035269,8.485101533,1.124292576,-3.768979774,0.120386615,,
ZMB,Zambia,Africa,3/25/2020,3/10/2020,1987.302632,0,17.09209484,1,normal,0.810034473,1.163026522,6.033132731,7.496062282,29.10894818,2.581102972,-4.500891621,0.033373005,,
