,Nation,drop_senti_bert,drop_senti_bert_quan25,drop_senti_bert_quan75,min_senti_bert,min_senti_bert_quan25,min_senti_bert_quan75,senti_bert_averageN,min_senti_bert_std,min_senti_bert_quan25_std,min_senti_bert_quan75_std
67,KEN,2020-3-10,2020-3-10,2020-3-10,2020-3-25,2020-3-25,2020-3-25,13214.84868,2020-3-25,2020-3-25,2020-3-25
68,KGZ,2020-3-10,2020-3-10,2020-3-10,2020-3-21,2020-3-18,2020-3-24,457.1315789,2020-3-19,2020-3-18,2020-3-24
69,KHM,2020-3-11,2020-3-11,2020-3-11,2020-3-18,2020-3-18,2020-4-1,544.4671053,2020-3-18,2020-3-19,2020-4-1
70,KOR,2020-2-18,2020-2-18,2020-2-18,2020-3-15,2020-3-15,2020-3-18,10305.51974,2020-3-16,2020-3-16,2020-3-18
71,KWT,2020-2-24,2020-2-24,2020-2-24,2020-2-26,2020-2-27,2020-2-26,18170.32237,2020-2-27,2020-2-27,2020-2-27
72,LBN,2020-3-5,2020-3-5,2020-3-5,2020-3-13,2020-3-13,2020-3-12,4784.565789,2020-3-12,2020-3-12,2020-3-13
73,LBY,2020-3-10,2020-3-10,2020-3-10,2020-3-21,2020-3-21,2020-3-26,4846.914474,2020-3-23,2020-3-23,2020-3-17
74,LCA,2020-3-9,2020-3-9,2020-3-9,2020-3-31,2020-3-31,2020-3-30,630.9671053,2020-3-31,2020-3-31,2020-3-31
75,LKA,2020-3-9,2020-3-9,2020-3-9,2020-3-15,2020-3-15,2020-3-14,2229.493421,2020-3-14,2020-3-14,2020-3-15
76,LSO,2020-3-9,2020-3-9,2020-3-9,2020-3-13,2020-3-13,2020-3-17,655.1973684,2020-3-14,2020-3-13,2020-3-13
77,LUX,2020-3-8,2020-3-8,2020-3-8,2020-3-20,2020-3-20,2020-3-17,330.3289474,2020-3-20,2020-3-20,2020-3-19
78,LVA,2020-3-7,2020-3-7,2020-3-7,2020-3-15,2020-3-15,2020-3-15,845.4671053,2020-3-15,2020-2-12,2020-3-15
79,MAC,2020-1-20,2020-1-20,2020-1-20,2020-2-5,2020-2-5,2020-2-7,208.5065789,2020-2-6,2020-2-6,2020-2-7
80,MAR,2020-3-9,2020-3-9,2020-3-9,2020-3-15,2020-3-14,2020-3-15,1393.980263,2020-3-15,2020-3-14,2020-3-16
81,MEX,2020-3-10,2020-3-10,2020-3-10,2020-3-16,2020-3-16,2020-3-17,79606.00658,2020-3-17,2020-3-16,2020-3-18
82,MKD,2020-3-8,2020-3-8,2020-3-8,2020-3-12,2020-3-12,2020-3-21,556.1578947,2020-3-12,2020-3-12,2020-3-21
